# of transfers,heat,heat % change,room temp,room temp % change,cold,cold % change
0,12.1605,,17.9732,,18.29,
1,11.97,-1.566547428,17.99,0.093472504,18.28,-0.054674686
2,12.13,-0.250812055,18.02,0.260387688,18.34,0.273373428
3,11.9,-2.142181654,17.97,-0.017804286,18.28,-0.054674686
4,11.91,-2.059948193,18,0.149110898,18.29,0
5,11.92,-1.977714732,18.01,0.204749293,18.25,-0.218698742
6,12.1,-0.497512438,18.03,0.316026083,18.32,0.164024057
7,11.91,-2.059948193,17.98,0.037834109,18.26,-0.164024057
8,11.87,-2.388882036,18.02,0.260387688,18.23,-0.328048114
9,11.97,-1.566547428,18.02,0.260387688,18.34,0.273373428